title,genre
Avengers,Action
Iron Man,Action
Batman,Action
Superman,Action
Spider-Man,Action
Black Panther,Action
Doctor Strange,Action
Thor,Action
Captain America,Action
John Wick,Action
Mission Impossible,Action
Fast and Furious,Action

Titanic,Romance
The Notebook,Romance
La La Land,Romance
Me Before You,Romance
Pride and Prejudice,Romance
The Fault in Our Stars,Romance
A Walk to Remember,Romance
Dear John,Romance

Frozen,Animation
Moana,Animation
Toy Story,Animation
Finding Nemo,Animation
Inside Out,Animation
Coco,Animation
Zootopia,Animation
Kung Fu Panda,Animation

The Conjuring,Horror
Insidious,Horror
Annabelle,Horror
The Nun,Horror
IT,Horror
A Quiet Place,Horror

Inception,Sci-Fi
Interstellar,Sci-Fi
The Matrix,Sci-Fi
Avatar,Sci-Fi
Dune,Sci-Fi
Blade Runner 2049,Sci-Fi

3 Idiots,Comedy
PK,Comedy
Hera Pheri,Comedy
Bhool Bhulaiyaa,Comedy
Welcome,Comedy
Dhamaal,Comedy

Dangal,Drama
Taare Zameen Par,Drama
Chhichhore,Drama
The Pursuit of Happyness,Drama
Forrest Gump,Drama
The Shawshank Redemption,Drama
